orden,prioridad,tipo_contacto,negocio,rubro,telefono_internacional,instagram,google_maps,mensaje_personalizado,whatsapp_con_mensaje,estado,fecha_verificacion
11,Media,Número publicado; validar WhatsApp,Estética Centro,Estética y depilación,AR +54 9 353 422-8952,,https://www.google.com/maps/place/Est%C3%A9tica+Centro/data=!4m7!3m6!1s0x95cc43f216518bcb:0x327e018563f69a1e!8m2!3d-32.4070368!4d-63.242316!16s%2Fg%2F11f7b150v0,"Hola, ¿cómo estás? Estuve viendo Estética Centro y pensé que Imán Turnos podría ayudarles a ordenar sesiones y tratamientos de distinta duración sin depender de coordinar todo por mensajes. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Estética Centro, sin compromiso?",https://wa.me/5493534228952?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Est%C3%A9tica%20Centro%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20ordenar%20sesiones%20y%20tratamientos%20de%20distinta%20duraci%C3%B3n%20sin%20depender%20de%20coordinar%20todo%20por%20mensajes.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Est%C3%A9tica%20Centro%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
12,Media,Número publicado; validar WhatsApp,María Centro de Salud y Spa,"Salud, estética y spa",AR +54 9 353 508-4165,,https://www.google.com/maps/place/Mar%C3%ADa+Centro+de+Salud+y+spa/data=!4m7!3m6!1s0x9432986f9eb90f67:0xc90f994dcaac1026!8m2!3d-32.4123195!4d-63.2470174!16s%2Fg%2F1q628q4z2,"Hola, ¿cómo estás? Estuve viendo María Centro de Salud y Spa y pensé que Imán Turnos podría ayudarles a coordinar profesionales y tratamientos desde una sola agenda. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para María Centro de Salud y Spa, sin compromiso?",https://wa.me/5493535084165?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Mar%C3%ADa%20Centro%20de%20Salud%20y%20Spa%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20coordinar%20profesionales%20y%20tratamientos%20desde%20una%20sola%20agenda.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Mar%C3%ADa%20Centro%20de%20Salud%20y%20Spa%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
13,Media,Número publicado; validar WhatsApp,María V Estudio de Belleza & Spa,Belleza y spa,AR +54 9 353 459-0820,,https://www.google.com/maps/place/Maria+V+%7C+Estudio+de+belleza+%26+spa/data=!4m7!3m6!1s0x95cc43186999c705:0xc236b37ea384b825!8m2!3d-32.4156453!4d-63.2461009!16s%2Fg%2F11xkpgkc7x,"Hola, ¿cómo estás? Estuve viendo María V Estudio de Belleza & Spa y pensé que Imán Turnos podría ayudarles a ordenar los distintos servicios y aprovechar mejor los espacios libres de la agenda. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para María V Estudio de Belleza & Spa, sin compromiso?",https://wa.me/5493534590820?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Mar%C3%ADa%20V%20Estudio%20de%20Belleza%20%26%20Spa%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20ordenar%20los%20distintos%20servicios%20y%20aprovechar%20mejor%20los%20espacios%20libres%20de%20la%20agenda.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Mar%C3%ADa%20V%20Estudio%20de%20Belleza%20%26%20Spa%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
14,Media,Número publicado; validar WhatsApp,AMBAR Centro de Estética,Centro de estética,AR +54 9 353 419-1598,,https://www.google.com/maps/place/AMBAR+Centro+de+Est%C3%A9tica/data=!4m7!3m6!1s0x95cc42f210494a5d:0x4d61372b461315e8!8m2!3d-32.4129639!4d-63.2343452!16s%2Fg%2F11g71k9ppf,"Hola, ¿cómo estás? Estuve viendo AMBAR Centro de Estética y pensé que Imán Turnos podría ayudarles a darles a las clientas una forma simple de reservar y reducir la coordinación manual. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para AMBAR Centro de Estética, sin compromiso?",https://wa.me/5493534191598?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20AMBAR%20Centro%20de%20Est%C3%A9tica%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20darles%20a%20las%20clientas%20una%20forma%20simple%20de%20reservar%20y%20reducir%20la%20coordinaci%C3%B3n%20manual.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20AMBAR%20Centro%20de%20Est%C3%A9tica%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
15,Media,Número publicado; validar WhatsApp,Evolution,Centro de estética,AR +54 9 3571 458-331,,https://www.google.com/maps/place/Evolution/data=!4m7!3m6!1s0x95cc43df62f94aa5:0x13d55936667704ff!8m2!3d-32.4075329!4d-63.2362685!16s%2Fg%2F11r3dglw10,"Hola, ¿cómo estás? Estuve viendo Evolution y pensé que Imán Turnos podría ayudarles a centralizar las reservas y ocupar mejor los horarios que van quedando libres. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Evolution, sin compromiso?",https://wa.me/5493571458331?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Evolution%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20centralizar%20las%20reservas%20y%20ocupar%20mejor%20los%20horarios%20que%20van%20quedando%20libres.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Evolution%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
16,Media,Número publicado; validar WhatsApp,L-Gantes Nails,Uñas,AR +54 9 353 562-5092,,https://www.google.com/maps/place/L-Gantes+Nails/data=!4m7!3m6!1s0x95cc43425f11e2df:0x64f973747fc974d!8m2!3d-32.4000927!4d-63.2298559!16s%2Fg%2F11rs9_q2ys,"Hola, ¿cómo estás? Estuve viendo L-Gantes Nails y pensé que Imán Turnos podría ayudarles a organizar cada servicio por duración y facilitar que las clientas reserven solas. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para L-Gantes Nails, sin compromiso?",https://wa.me/5493535625092?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20L-Gantes%20Nails%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20organizar%20cada%20servicio%20por%20duraci%C3%B3n%20y%20facilitar%20que%20las%20clientas%20reserven%20solas.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20L-Gantes%20Nails%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
17,Media,Número publicado; validar WhatsApp,Las Brujas Tattoo,Tattoo,AR +54 9 353 422-0223,,https://www.google.com/maps/place/Las+Brujas+Tattoo/data=!4m7!3m6!1s0x95cc434569dc8f41:0xbee359c1435523c5!8m2!3d-32.4031077!4d-63.2357576!16s%2Fg%2F11zb2z636d,"Hola, ¿cómo estás? Estuve viendo Las Brujas Tattoo y pensé que Imán Turnos podría ayudarles a ordenar las sesiones y evitar mezclar consultas con la coordinación de turnos. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Las Brujas Tattoo, sin compromiso?",https://wa.me/5493534220223?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Las%20Brujas%20Tattoo%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20ordenar%20las%20sesiones%20y%20evitar%20mezclar%20consultas%20con%20la%20coordinaci%C3%B3n%20de%20turnos.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Las%20Brujas%20Tattoo%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
18,Media,Número publicado; validar WhatsApp,Tattoolencina,Tattoo,AR +54 9 353 426-5552,,https://www.google.com/maps/place/Tattoolencina/data=!4m7!3m6!1s0x95cd238dcfda9ed5:0x9b014c329f3459f9!8m2!3d-32.4088946!4d-63.2323133!16s%2Fg%2F11qp56w3wh,"Hola, ¿cómo estás? Estuve viendo Tattoolencina y pensé que Imán Turnos podría ayudarles a organizar sesiones y dejar disponibles horarios concretos sin tanto ida y vuelta por chat. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Tattoolencina, sin compromiso?",https://wa.me/5493534265552?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Tattoolencina%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20organizar%20sesiones%20y%20dejar%20disponibles%20horarios%20concretos%20sin%20tanto%20ida%20y%20vuelta%20por%20chat.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Tattoolencina%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
19,Media,Número publicado; validar WhatsApp,Jamaica Tattoo,Tattoo,AR +54 9 353 481-6556,,https://www.google.com/maps/place/Jamaica+Tattoo/data=!4m7!3m6!1s0x95cc42efb14c9021:0x658e64f8b5f3c5f2!8m2!3d-32.4051223!4d-63.2176996!16s%2Fg%2F11g8wd8kcs,"Hola, ¿cómo estás? Estuve viendo Jamaica Tattoo y pensé que Imán Turnos podría ayudarles a ordenar las reservas del estudio y separar mejor las consultas de los turnos confirmados. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Jamaica Tattoo, sin compromiso?",https://wa.me/5493534816556?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Jamaica%20Tattoo%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20ordenar%20las%20reservas%20del%20estudio%20y%20separar%20mejor%20las%20consultas%20de%20los%20turnos%20confirmados.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Jamaica%20Tattoo%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
20,Media,Número publicado; validar WhatsApp,Clapton BarberShop,Barbería,AR +54 9 353 565-3313,,https://www.google.com/maps/place/Clapton+BarberShop/data=!4m7!3m6!1s0x95cc42d9240afb03:0x8d39feaa3e6a94b!8m2!3d-32.404125!4d-63.2462281!16s%2Fg%2F11dx8_shfz,"Hola, ¿cómo estás? Estuve viendo Clapton BarberShop y pensé que Imán Turnos podría ayudarles a hacer que los clientes elijan servicio y horario sin interrumpir el trabajo para responder mensajes. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Clapton BarberShop, sin compromiso?",https://wa.me/5493535653313?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Clapton%20BarberShop%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20hacer%20que%20los%20clientes%20elijan%20servicio%20y%20horario%20sin%20interrumpir%20el%20trabajo%20para%20responder%20mensajes.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Clapton%20BarberShop%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
21,Media,Número publicado; validar WhatsApp,MAV Peluquería,Peluquería y barbería,AR +54 9 353 408-0386,,https://www.google.com/maps/place/MAV-Peluqueria/data=!4m7!3m6!1s0x95cc42c51246f361:0x3a00249798332a6c!8m2!3d-32.3993599!4d-63.2363593!16s%2Fg%2F11f50m3hqd,"Hola, ¿cómo estás? Estuve viendo MAV Peluquería y pensé que Imán Turnos podría ayudarles a ordenar cortes y servicios por duración y recibir reservas sin depender del chat. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para MAV Peluquería, sin compromiso?",https://wa.me/5493534080386?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20MAV%20Peluquer%C3%ADa%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20ordenar%20cortes%20y%20servicios%20por%20duraci%C3%B3n%20y%20recibir%20reservas%20sin%20depender%20del%20chat.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20MAV%20Peluquer%C3%ADa%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
22,Media,Número publicado; validar WhatsApp,Moreletti Peluquería,Peluquería,AR +54 9 353 424-9769,,https://www.google.com/maps/place/Moreletti+Peluqueria+Tradicional/data=!4m7!3m6!1s0x95cc42c6a8d66921:0xa1d5b6f25fad03aa!8m2!3d-32.4017316!4d-63.2329782!16s%2Fg%2F11gg752tb4,"Hola, ¿cómo estás? Estuve viendo Moreletti Peluquería y pensé que Imán Turnos podría ayudarles a recibir reservas sin cortar la atención para coordinar horarios por mensajes. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Moreletti Peluquería, sin compromiso?",https://wa.me/5493534249769?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Moreletti%20Peluquer%C3%ADa%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20recibir%20reservas%20sin%20cortar%20la%20atenci%C3%B3n%20para%20coordinar%20horarios%20por%20mensajes.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Moreletti%20Peluquer%C3%ADa%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
23,Media,Número publicado; validar WhatsApp,Las Oggero,Peluquería,AR +54 9 353 452-4090,,https://www.google.com/maps/place/Las+Oggero/data=!4m7!3m6!1s0x95cc42c2b8509dd3:0x292bfd63f2f206f0!8m2!3d-32.4075296!4d-63.237312!16s%2Fg%2F1td7vcv6,"Hola, ¿cómo estás? Estuve viendo Las Oggero y pensé que Imán Turnos podría ayudarles a coordinar mejor los distintos servicios y evitar tantos mensajes para encontrar horario. Mi propuesta es bien personalizada: yo mismo te configuro servicios, horarios y la página con la identidad del negocio, y te acompaño por WhatsApp hasta que quede funcionando. ¿Querés que te prepare una muestra para Las Oggero, sin compromiso?",https://wa.me/5493534524090?text=Hola%2C%20%C2%BFc%C3%B3mo%20est%C3%A1s%3F%20Estuve%20viendo%20Las%20Oggero%20y%20pens%C3%A9%20que%20Im%C3%A1n%20Turnos%20podr%C3%ADa%20ayudarles%20a%20coordinar%20mejor%20los%20distintos%20servicios%20y%20evitar%20tantos%20mensajes%20para%20encontrar%20horario.%20Mi%20propuesta%20es%20bien%20personalizada%3A%20yo%20mismo%20te%20configuro%20servicios%2C%20horarios%20y%20la%20p%C3%A1gina%20con%20la%20identidad%20del%20negocio%2C%20y%20te%20acompa%C3%B1o%20por%20WhatsApp%20hasta%20que%20quede%20funcionando.%20%C2%BFQuer%C3%A9s%20que%20te%20prepare%20una%20muestra%20para%20Las%20Oggero%2C%20sin%20compromiso%3F,Pendiente,2026-07-15
